time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-01 00:00:00+00:00,75,4,13.0,3.0
2023-11-02 00:00:00+00:00,215,6,9.0,1.0
2023-11-03 00:00:00+00:00,297,7,14.0,2.0
2023-11-04 00:00:00+00:00,13,5,,
2023-11-05 00:00:00+00:00,13,6,5.0,1.0
2023-11-06 00:00:00+00:00,313,8,15.0,6.0
2023-11-07 00:00:00+00:00,346,7,26.0,7.0
2023-11-08 00:00:00+00:00,431,6,33.0,7.0
2023-11-09 00:00:00+00:00,358,8,19.0,3.0
2023-11-10 00:00:00+00:00,210,6,68.0,11.0
2023-11-11 00:00:00+00:00,17,4,16.0,1.0
2023-11-12 00:00:00+00:00,11,4,2.0,1.0
2023-11-13 00:00:00+00:00,329,7,41.0,7.0
2023-11-14 00:00:00+00:00,410,2,10.0,5.0
