time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-18 00:00:00+00:00,4,3,25.0,3.0
2023-06-19 00:00:00+00:00,143,9,66.0,10.0
2023-06-20 00:00:00+00:00,110,7,11.0,3.0
2023-06-21 00:00:00+00:00,88,8,12.0,6.0
2023-06-22 00:00:00+00:00,198,7,12.0,5.0
2023-06-23 00:00:00+00:00,113,7,3.0,3.0
2023-06-24 00:00:00+00:00,25,5,,
2023-06-25 00:00:00+00:00,5,4,3.0,3.0
2023-06-26 00:00:00+00:00,107,7,5.0,3.0
2023-06-27 00:00:00+00:00,67,5,18.0,11.0
2023-06-28 00:00:00+00:00,117,5,15.0,8.0
2023-06-29 00:00:00+00:00,124,6,22.0,7.0
2023-06-30 00:00:00+00:00,124,8,25.0,7.0
2023-07-01 00:00:00+00:00,6,2,1.0,1.0
