time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-14 00:00:00+00:00,10,3,1,1
2024-01-15 00:00:00+00:00,354,6,14,6
2024-01-16 00:00:00+00:00,351,4,8,6
2024-01-17 00:00:00+00:00,293,3,25,14
2024-01-18 00:00:00+00:00,278,4,34,14
2024-01-19 00:00:00+00:00,210,5,16,5
2024-01-20 00:00:00+00:00,14,3,1,1
2024-01-21 00:00:00+00:00,21,3,13,5
2024-01-22 00:00:00+00:00,296,7,21,5
2024-01-23 00:00:00+00:00,208,4,54,7
2024-01-24 00:00:00+00:00,250,5,3,2
2024-01-25 00:00:00+00:00,308,6,19,8
2024-01-26 00:00:00+00:00,424,4,4,3
2024-01-27 00:00:00+00:00,43,1,22,1
