time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,12,5,0,0
2025-12-28 00:00:00+00:00,9,6,0,0
2025-12-29 00:00:00+00:00,15,7,0,0
2025-12-30 00:00:00+00:00,16,9,0,0
2025-12-31 00:00:00+00:00,9,5,1,1
2026-01-01 00:00:00+00:00,8,4,0,0
2026-01-02 00:00:00+00:00,13,9,0,0
2026-01-03 00:00:00+00:00,11,7,0,0
2026-01-04 00:00:00+00:00,15,7,0,0
2026-01-05 00:00:00+00:00,10,6,0,0
2026-01-06 00:00:00+00:00,14,7,2,1
2026-01-07 00:00:00+00:00,12,4,4,2
2026-01-08 00:00:00+00:00,8,4,0,0
2026-01-09 00:00:00+00:00,7,3,1,1
