time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,356,6,21.0,6.0
2023-10-27 00:00:00+00:00,256,6,45.0,7.0
2023-10-28 00:00:00+00:00,11,4,,
2023-10-29 00:00:00+00:00,17,4,1.0,1.0
2023-10-30 00:00:00+00:00,110,6,18.0,10.0
2023-10-31 00:00:00+00:00,219,6,3.0,3.0
2023-11-01 00:00:00+00:00,75,4,13.0,3.0
2023-11-02 00:00:00+00:00,215,6,9.0,1.0
2023-11-03 00:00:00+00:00,297,7,14.0,2.0
2023-11-04 00:00:00+00:00,13,5,,
2023-11-05 00:00:00+00:00,13,6,5.0,1.0
2023-11-06 00:00:00+00:00,313,8,15.0,6.0
2023-11-07 00:00:00+00:00,346,7,26.0,7.0
2023-11-08 00:00:00+00:00,415,3,32.0,6.0
