time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-05 00:00:00+00:00,358,4,7,3
2023-10-06 00:00:00+00:00,416,6,24,5
2023-10-07 00:00:00+00:00,51,4,25,3
2023-10-08 00:00:00+00:00,102,4,8,2
2023-10-09 00:00:00+00:00,412,8,26,6
2023-10-10 00:00:00+00:00,326,7,52,12
2023-10-11 00:00:00+00:00,331,7,18,6
2023-10-12 00:00:00+00:00,295,3,21,10
2023-10-13 00:00:00+00:00,344,5,22,4
2023-10-14 00:00:00+00:00,15,4,1,1
2023-10-15 00:00:00+00:00,22,5,1,1
2023-10-16 00:00:00+00:00,416,4,23,6
2023-10-17 00:00:00+00:00,410,5,2,2
2023-10-18 00:00:00+00:00,365,3,22,9
