time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-06 00:00:00+00:00,93,6,38.0,13.0
2023-09-07 00:00:00+00:00,135,5,29.0,7.0
2023-09-08 00:00:00+00:00,119,8,28.0,5.0
2023-09-09 00:00:00+00:00,11,4,2.0,2.0
2023-09-10 00:00:00+00:00,19,6,1.0,1.0
2023-09-11 00:00:00+00:00,138,8,158.0,14.0
2023-09-12 00:00:00+00:00,151,7,11.0,6.0
2023-09-13 00:00:00+00:00,167,7,34.0,11.0
2023-09-14 00:00:00+00:00,164,5,52.0,11.0
2023-09-15 00:00:00+00:00,174,7,10.0,5.0
2023-09-16 00:00:00+00:00,13,6,15.0,2.0
2023-09-17 00:00:00+00:00,16,7,,
2023-09-18 00:00:00+00:00,268,8,12.0,4.0
2023-09-19 00:00:00+00:00,52,2,33.0,11.0
