time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-05 00:00:00+00:00,7,5,,
2025-11-06 00:00:00+00:00,6,3,1.0,1.0
2025-11-07 00:00:00+00:00,10,5,2.0,1.0
2025-11-08 00:00:00+00:00,11,5,1.0,1.0
2025-11-09 00:00:00+00:00,2,2,,
2025-11-10 00:00:00+00:00,5,3,4.0,1.0
2025-11-11 00:00:00+00:00,4,4,1.0,1.0
2025-11-12 00:00:00+00:00,3,3,11.0,3.0
2025-11-13 00:00:00+00:00,5,4,2.0,1.0
2025-11-14 00:00:00+00:00,15,9,,
2025-11-15 00:00:00+00:00,2,2,,
2025-11-16 00:00:00+00:00,3,3,,
2025-11-17 00:00:00+00:00,4,4,2.0,1.0
2025-11-18 00:00:00+00:00,1,1,1.0,1.0
