time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-13 00:00:00+00:00,167,7,34.0,11.0
2023-09-14 00:00:00+00:00,164,5,52.0,11.0
2023-09-15 00:00:00+00:00,174,7,10.0,5.0
2023-09-16 00:00:00+00:00,13,6,15.0,2.0
2023-09-17 00:00:00+00:00,16,7,,
2023-09-18 00:00:00+00:00,268,8,12.0,4.0
2023-09-19 00:00:00+00:00,56,5,34.0,12.0
2023-09-20 00:00:00+00:00,80,5,78.0,10.0
2023-09-21 00:00:00+00:00,247,5,33.0,10.0
2023-09-22 00:00:00+00:00,87,5,13.0,6.0
2023-09-23 00:00:00+00:00,12,4,,
2023-09-24 00:00:00+00:00,64,4,,
2023-09-25 00:00:00+00:00,151,5,13.0,5.0
2023-09-26 00:00:00+00:00,118,2,19.0,9.0
