time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-08 00:00:00+00:00,217,6,35.0,7.0
2023-12-09 00:00:00+00:00,13,5,14.0,2.0
2023-12-10 00:00:00+00:00,18,5,1.0,1.0
2023-12-11 00:00:00+00:00,178,8,7.0,5.0
2023-12-12 00:00:00+00:00,159,6,10.0,4.0
2023-12-13 00:00:00+00:00,213,6,26.0,7.0
2023-12-14 00:00:00+00:00,260,5,36.0,7.0
2023-12-15 00:00:00+00:00,140,5,21.0,7.0
2023-12-16 00:00:00+00:00,14,6,,
2023-12-17 00:00:00+00:00,12,5,6.0,2.0
2023-12-18 00:00:00+00:00,218,7,36.0,9.0
2023-12-19 00:00:00+00:00,239,6,13.0,6.0
2023-12-20 00:00:00+00:00,270,5,34.0,9.0
2023-12-21 00:00:00+00:00,221,2,53.0,8.0
