time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-09 00:00:00+00:00,4,3,16,5
2023-05-10 00:00:00+00:00,3,2,13,7
2023-05-11 00:00:00+00:00,5,3,12,7
2023-05-12 00:00:00+00:00,4,3,17,6
2023-05-13 00:00:00+00:00,4,3,4,1
2023-05-14 00:00:00+00:00,4,3,18,1
2023-05-15 00:00:00+00:00,3,3,7,6
2023-05-16 00:00:00+00:00,2,2,15,10
2023-05-17 00:00:00+00:00,6,5,44,6
2023-05-18 00:00:00+00:00,4,3,18,8
2023-05-19 00:00:00+00:00,5,4,5,3
2023-05-20 00:00:00+00:00,9,6,0,0
2023-05-21 00:00:00+00:00,6,4,1,1
2023-05-22 00:00:00+00:00,5,4,3,2
2023-05-23 00:00:00+00:00,6,4,15,7
2023-05-24 00:00:00+00:00,6,5,23,8
2023-05-25 00:00:00+00:00,4,3,16,3
2023-05-26 00:00:00+00:00,4,3,26,5
2023-05-27 00:00:00+00:00,4,3,5,1
2023-05-28 00:00:00+00:00,2,2,2,1
2023-05-29 00:00:00+00:00,6,5,2,2
2023-05-30 00:00:00+00:00,5,4,3,2
2023-05-31 00:00:00+00:00,4,3,5,5
2023-06-01 00:00:00+00:00,7,5,45,9
2023-06-02 00:00:00+00:00,4,3,16,3
2023-06-03 00:00:00+00:00,6,4,4,3
2023-06-04 00:00:00+00:00,4,3,1,1
2023-06-05 00:00:00+00:00,25,5,7,4
2023-06-06 00:00:00+00:00,26,4,29,7
2023-06-07 00:00:00+00:00,5,4,24,8
2023-06-08 00:00:00+00:00,10,5,8,5
2023-06-09 00:00:00+00:00,13,5,17,7
2023-06-10 00:00:00+00:00,5,4,1,1
2023-06-11 00:00:00+00:00,5,4,1,1
2023-06-12 00:00:00+00:00,16,6,4,4
2023-06-13 00:00:00+00:00,13,6,31,10
2023-06-14 00:00:00+00:00,30,7,11,8
2023-06-15 00:00:00+00:00,62,8,2,2
2023-06-16 00:00:00+00:00,51,7,52,6
2023-06-17 00:00:00+00:00,4,3,10,2
2023-06-18 00:00:00+00:00,4,3,25,3
2023-06-19 00:00:00+00:00,143,9,66,10
2023-06-20 00:00:00+00:00,110,7,11,3
2023-06-21 00:00:00+00:00,88,8,12,6
2023-06-22 00:00:00+00:00,198,7,12,5
2023-06-23 00:00:00+00:00,113,7,3,3
2023-06-24 00:00:00+00:00,25,5,0,0
2023-06-25 00:00:00+00:00,5,4,3,3
2023-06-26 00:00:00+00:00,107,7,5,3
2023-06-27 00:00:00+00:00,67,5,18,11
2023-06-28 00:00:00+00:00,117,5,15,8
2023-06-29 00:00:00+00:00,124,6,22,7
2023-06-30 00:00:00+00:00,124,8,25,7
2023-07-01 00:00:00+00:00,10,5,1,1
2023-07-02 00:00:00+00:00,11,5,2,1
2023-07-03 00:00:00+00:00,321,8,35,4
2023-07-04 00:00:00+00:00,332,6,13,7
2023-07-05 00:00:00+00:00,243,5,20,2
2023-07-06 00:00:00+00:00,198,6,20,5
2023-07-07 00:00:00+00:00,189,6,15,2
2023-07-08 00:00:00+00:00,11,4,0,0
2023-07-09 00:00:00+00:00,12,5,1,1
2023-07-10 00:00:00+00:00,158,8,35,4
2023-07-11 00:00:00+00:00,98,8,25,5
2023-07-12 00:00:00+00:00,120,6,8,4
2023-07-13 00:00:00+00:00,130,7,5,3
2023-07-14 00:00:00+00:00,60,8,2,2
2023-07-15 00:00:00+00:00,12,5,11,2
2023-07-16 00:00:00+00:00,11,4,0,0
2023-07-17 00:00:00+00:00,140,6,9,3
2023-07-18 00:00:00+00:00,157,6,7,5
2023-07-19 00:00:00+00:00,80,7,12,4
2023-07-20 00:00:00+00:00,68,4,11,4
2023-07-21 00:00:00+00:00,76,5,15,4
2023-07-22 00:00:00+00:00,13,6,1,1
2023-07-23 00:00:00+00:00,12,5,7,2
2023-07-24 00:00:00+00:00,162,7,47,7
2023-07-25 00:00:00+00:00,114,6,45,7
2023-07-26 00:00:00+00:00,132,6,27,6
2023-07-27 00:00:00+00:00,183,7,27,8
2023-07-28 00:00:00+00:00,211,8,19,8
2023-07-29 00:00:00+00:00,12,5,10,2
2023-07-30 00:00:00+00:00,11,4,6,1
2023-07-31 00:00:00+00:00,295,5,29,8
2023-08-01 00:00:00+00:00,239,5,55,8
2023-08-02 00:00:00+00:00,122,5,6,2
2023-08-03 00:00:00+00:00,187,4,28,8
2023-08-04 00:00:00+00:00,136,4,20,6
2023-08-05 00:00:00+00:00,15,5,15,3
2023-08-06 00:00:00+00:00,13,5,0,0
2023-08-07 00:00:00+00:00,141,6,60,10
2023-08-08 00:00:00+00:00,81,7,9,8
2023-08-09 00:00:00+00:00,95,4,16,5
2023-08-10 00:00:00+00:00,78,5,1,1
2023-08-11 00:00:00+00:00,67,4,6,5
2023-08-12 00:00:00+00:00,12,4,0,0
2023-08-13 00:00:00+00:00,11,4,11,1
2023-08-14 00:00:00+00:00,130,5,9,3
2023-08-15 00:00:00+00:00,72,5,26,5
2023-08-16 00:00:00+00:00,162,4,27,5
2023-08-17 00:00:00+00:00,136,6,99,5
2023-08-18 00:00:00+00:00,77,6,18,6
2023-08-19 00:00:00+00:00,11,4,6,1
2023-08-20 00:00:00+00:00,11,4,9,1
2023-08-21 00:00:00+00:00,92,4,32,9
2023-08-22 00:00:00+00:00,152,5,39,8
2023-08-23 00:00:00+00:00,91,8,18,4
2023-08-24 00:00:00+00:00,181,7,4,4
2023-08-25 00:00:00+00:00,149,5,45,11
2023-08-26 00:00:00+00:00,11,4,5,1
2023-08-27 00:00:00+00:00,13,5,19,8
2023-08-28 00:00:00+00:00,114,6,21,9
2023-08-29 00:00:00+00:00,151,6,28,8
2023-08-30 00:00:00+00:00,209,4,19,10
